year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2022,Kedah,40-44,1054,157.5,120500,8.746887967
2017,Selangor,50-54,976,64.46,311700,3.131215913
2022,Kedah,45-49,704,123.5,112800,6.241134752
2017,Selangor,55-59,551,43.33,250700,2.197846031
2022,Kedah,50-54,526,86.4,109300,4.812442818
2017,Selangor,60-64,285,22.96,184800,1.542207792
2022,Kedah,55-59,374,68.2,103600,3.61003861
2017,Selangor,65+,243,7.52,306100,0.793858216
2022,Kedah,60-64,282,48.7,92200,3.05856833
2017,Selangor,all,73903,45.95,6380700,11.58227154
2022,Kedah,65+,395,20.4,185000,2.135135135
2017,Terengganu,< 20,760,3.19,488400,1.556101556
2017,Terengganu,20-24,6142,127.32,128000,47.984375
2017,Terengganu,25-29,9931,380.74,114800,86.50696864
2017,Terengganu,30-34,2944,280.23,87000,33.83908046
2017,Terengganu,35-39,983,192.12,66600,14.75975976
2017,Terengganu,40-44,562,164.37,59400,9.461279461
2017,Terengganu,45-49,330,139.07,56900,5.799648506
2017,Terengganu,50-54,250,106.17,55500,4.504504505
2017,Terengganu,55-59,168,78.84,48900,3.435582822
2017,Terengganu,60-64,111,44.34,37000,3
2017,Terengganu,65+,170,22.6,65400,2.599388379
2017,Terengganu,all,22351,60.58,1208000,18.50248344
2018,Kelantan,all,31468,56.7,1860500,16.91373287
2018,Kelantan,< 20,1313,3.7,748900,1.753238083
2018,Kelantan,20-24,8856,125.2,202900,43.64711681
2018,Kelantan,25-29,13274,363.8,175700,75.54923164
2018,Kelantan,30-34,4028,348.2,114700,35.11769834
2018,Kelantan,35-39,1479,218.6,100600,14.70178926
2018,Kelantan,40-44,783,174,86400,9.0625
2018,Kelantan,45-49,540,148.4,86400,6.25
2018,Kelantan,50-54,396,105.7,85300,4.642438453
2018,Kelantan,55-59,319,94.1,78900,4.043092522
2018,Kelantan,60-64,191,56.8,62500,3.056
2018,Kelantan,65+,289,26.6,118000,2.449152542
2019,Kelantan,all,31295,56.2,1883800,16.61269774
2019,Kelantan,< 20,1427,4,748500,1.906479626
2019,Kelantan,20-24,8810,127.6,198000,44.49494949
2019,Kelantan,25-29,12993,330.4,190500,68.20472441
2019,Kelantan,30-34,4071,346.3,119000,34.21008403
2019,Kelantan,35-39,1458,208.2,103800,14.04624277
2019,Kelantan,40-44,812,179.3,86700,9.365628604
2019,Kelantan,45-49,549,150.8,85500,6.421052632
2019,Kelantan,50-54,409,110.6,84700,4.828807556
2019,Kelantan,55-59,288,90.5,79900,3.604505632
2019,Kelantan,60-64,203,56.2,65100,3.11827957
2019,Kelantan,65+,275,23.9,122200,2.250409165
2020,Kelantan,all,30118,53.8,1792500,16.80223152
2020,Kelantan,< 20,1359,3.8,744400,1.825631381
2020,Kelantan,20-24,8451,125.9,171600,49.24825175
2020,Kelantan,25-29,12374,301.1,130100,95.11145273
2020,Kelantan,30-34,3889,308.2,118200,32.90186125
2020,Kelantan,35-39,1546,219.2,107500,14.38139535
2020,Kelantan,40-44,816,176.3,88200,9.25170068
2020,Kelantan,45-49,519,148.6,86600,5.993071594
2020,Kelantan,50-54,399,106.4,82100,4.859926918
2020,Kelantan,55-59,290,90.1,83500,3.473053892
2020,Kelantan,60-64,201,55.1,66300,3.031674208
2020,Kelantan,65+,274,22.3,114200,2.399299475
2018,Melaka,< 20,260,1.8,288700,0.900588847
2021,Kelantan,all,42259,74.2,1812300,23.31788335
2018,Melaka,20-24,3104,83.7,97200,31.93415638
2021,Kelantan,< 20,1538,4.2,738900,2.081472459
2018,Melaka,25-29,5940,263.4,99600,59.63855422
2021,Kelantan,20-24,11448,164.3,179900,63.63535297
2018,Melaka,30-34,2359,269.2,75400,31.28647215
2021,Kelantan,25-29,18369,423.8,136100,134.9669361
2018,Melaka,35-39,911,185.7,60900,14.9589491
2021,Kelantan,30-34,5645,416.3,118300,47.71766695
2018,Melaka,40-44,470,157.8,48300,9.730848861
2021,Kelantan,35-39,2182,290.7,110400,19.76449275
2018,Melaka,45-49,275,108.6,48400,5.681818182
2021,Kelantan,40-44,1053,226.9,90100,11.68701443
2018,Melaka,50-54,200,71.6,49500,4.04040404
2021,Kelantan,45-49,646,187.3,84600,7.635933806
2018,Melaka,55-59,129,51.6,44700,2.88590604
2021,Kelantan,50-54,475,144.1,82600,5.750605327
2018,Melaka,60-64,87,33.8,35800,2.430167598
2021,Kelantan,55-59,343,95.4,81800,4.193154034
2018,Melaka,65+,76,9.9,74100,1.025641026
2021,Kelantan,60-64,254,72.4,69800,3.638968481
2018,Melaka,all,13811,55.6,922400,14.97289679
2021,Kelantan,65+,306,25.1,119800,2.554257095
2018,Negeri Sembilan,< 20,386,2.2,364400,1.059275521
2022,Kelantan,all,38855,67.7,1830600,21.22528133
2018,Negeri Sembilan,20-24,3676,91.1,116100,31.66236003
2022,Kelantan,< 20,1346,3.6,733800,1.834287272
2018,Negeri Sembilan,25-29,7363,290.8,110400,66.69384058
2022,Kelantan,20-24,10024,142.2,187700,53.40436867
2018,Negeri Sembilan,30-34,3122,288,92800,33.64224138
2022,Kelantan,25-29,16126,370.6,142500,113.1649123
2018,Negeri Sembilan,35-39,1224,211.6,71600,17.09497207
2022,Kelantan,30-34,5513,412.4,120500,45.75103734
2018,Negeri Sembilan,40-44,620,153.3,62600,9.904153355
2022,Kelantan,35-39,2295,307,111900,20.50938338
2018,Negeri Sembilan,45-49,346,100.1,58500,5.914529915
2022,Kelantan,40-44,1184,253.4,92800,12.75862069
2018,Negeri Sembilan,50-54,245,72.5,57400,4.268292683
2022,Kelantan,45-49,820,232.2,83500,9.820359281
2018,Negeri Sembilan,55-59,180,56.8,55000,3.272727273
2022,Kelantan,50-54,567,166.5,83000,6.831325301
2018,Negeri Sembilan,60-64,128,41,48000,2.666666667
2022,Kelantan,55-59,455,135.9,79800,5.701754386
2018,Negeri Sembilan,65+,126,14,86000,1.465116279
2022,Kelantan,60-64,324,91.5,72500,4.468965517
2018,Negeri Sembilan,all,17416,57.3,1122900,15.50984059
2022,Kelantan,65+,201,13.2,122700,1.638141809
2018,Pahang,< 20,1108,4,575600,1.92494788
2018,Pahang,20-24,5959,109.6,168200,35.42806183
2018,Pahang,25-29,9819,338.3,164200,59.79902558
2018,Pahang,30-34,3892,275.2,139400,27.91965567
2018,Pahang,35-39,1570,175.7,122400,12.82679739
2018,Pahang,40-44,853,168,87400,9.7597254
2018,Pahang,45-49,522,129.3,81400,6.412776413
2018,Pahang,50-54,357,85.4,77800,4.588688946
2018,Pahang,55-59,236,66,72800,3.241758242
2018,Pahang,60-64,181,47.3,59700,3.031825796
2018,Pahang,65+,232,16.1,115800,2.003454231
2018,Pahang,all,24729,55.5,1664700,14.85492882
2018,Perak,< 20,885,2.3,776600,1.139582797
2018,Perak,20-24,7966,95.2,253400,31.43646409
2018,Perak,25-29,14485,277.1,233700,61.98117244
2018,Perak,30-34,6730,311.2,184300,36.5165491
2018,Perak,35-39,2701,232,143400,18.83542538
2018,Perak,40-44,1275,152.8,132800,9.600903614
2018,Perak,45-49,822,107.7,133600,6.152694611
2018,Perak,50-54,530,61.9,139200,3.807471264
2018,Perak,55-59,371,46.8,133700,2.77486911
2018,Perak,60-64,222,26.7,116600,1.903945111
2018,Perak,65+,248,9.5,256000,0.96875
2018,Perak,all,36235,55.7,2503500,14.47373677
2018,Perlis,< 20,161,3.9,82400,1.953883495
2019,Melaka,all,13693,55.2,928400,14.74903059
2018,Perlis,20-24,1073,110.7,25600,41.9140625
2019,Melaka,< 20,284,2,287700,0.987139381
2018,Perlis,25-29,1576,291.5,27900,56.4874552
2019,Melaka,20-24,3016,85.2,92600,32.57019438
2018,Perlis,30-34,573,298.9,19800,28.93939394
